Project name:,UVEX Dichroic Coating,,,,,UVEX Dichroic Coating,,,,
Coating design:,135 180nm-FR30-S1 UVEX Dichroic Coating/FS substrate(10mm)/Air,,,,,135 180nm-FR30-S1 UVEX Dichroic Coating/FS substrate(10mm)/Air,,,,
AOI:,20° 25° 30° 35° 40°,,,,,20° 25° 30° 35° 40°,,,,
,,,,,,,,,,
wl(nm),%R,,,,,%T,,,,
,20°,25°,30°,35°,40°,20°,25°,30°,35°,40°
120,14.59,14.47,14.75,14.15,14.52,0.00,0.00,0.00,0.00,0.00
121,12.89,12.76,12.06,13.01,14.89,0.00,0.00,0.00,0.00,0.00
122,11.05,10.59,11.98,13.80,16.99,0.00,0.00,0.00,0.00,0.00
123,9.69,11.22,12.90,15.38,18.36,0.00,0.00,0.00,0.00,0.00
124,10.89,12.34,14.05,17.12,16.58,0.00,0.00,0.00,0.00,0.00
125,12.05,13.04,15.82,15.85,13.29,0.00,0.00,0.00,0.00,0.00
126,12.56,15.25,15.27,12.04,13.47,0.00,0.00,0.00,0.00,0.00
127,16.02,15.01,11.48,13.09,11.12,0.00,0.00,0.00,0.00,0.00
128,14.04,10.75,12.97,11.77,5.33,0.00,0.00,0.00,0.00,0.00
129,10.06,13.44,12.21,4.27,10.21,0.00,0.00,0.00,0.00,0.00
130,14.78,11.94,3.36,9.74,11.79,0.00,0.00,0.00,0.00,0.00
131,10.66,2.79,9.18,9.43,28.29,0.00,0.00,0.00,0.00,0.00
132,2.56,9.39,8.05,24.74,41.43,0.00,0.00,0.00,0.00,0.00
133,10.21,6.86,22.26,42.24,42.25,0.00,0.00,0.00,0.00,0.00
134,5.60,21.43,42.43,44.72,43.43,0.00,0.00,0.00,0.00,0.00
135,20.29,40.50,45.80,44.04,45.57,0.00,0.00,0.00,0.00,0.00
136,40.05,46.08,44.53,45.27,46.10,0.00,0.00,0.00,0.00,0.00
137,46.20,45.11,45.02,46.45,45.46,0.00,0.00,0.00,0.00,0.00
138,45.45,45.01,46.34,46.37,45.44,0.00,0.00,0.00,0.00,0.00
139,45.17,46.16,46.89,45.81,46.02,0.00,0.00,0.00,0.00,0.00
140,46.13,47.06,46.29,46.40,45.78,0.00,0.00,0.00,0.00,0.00
141,46.64,46.69,46.11,46.38,45.73,0.00,0.00,0.00,0.00,0.00
142,46.66,46.13,46.41,45.80,46.22,0.00,0.00,0.00,0.00,0.00
143,46.18,46.09,46.38,45.42,46.61,0.00,0.00,0.00,0.00,0.00
144,46.54,47.08,46.37,46.75,47.48,0.00,0.00,0.00,0.00,0.00
145,47.50,47.53,46.76,48.31,48.34,0.00,0.00,0.00,0.00,0.00
146,47.45,46.41,47.10,48.23,47.24,0.00,0.00,0.00,0.00,0.00
147,46.33,45.87,47.58,47.96,44.20,0.00,0.00,0.00,0.00,0.00
148,45.12,46.39,47.41,47.61,39.00,0.00,0.00,0.00,0.00,0.00
149,45.17,46.73,47.25,46.01,35.69,0.00,0.00,0.00,0.00,0.00
150,45.80,46.40,47.53,42.62,40.54,0.00,0.00,0.00,0.00,0.00
151,47.19,48.25,49.60,41.70,47.00,0.00,0.00,0.00,0.00,0.00
152,48.47,51.68,50.23,42.74,51.68,0.00,0.00,0.00,0.00,0.00
153,51.66,55.10,49.26,46.61,53.06,0.00,0.00,0.00,0.00,0.00
154,56.55,56.65,48.23,51.05,51.46,0.00,0.00,0.00,0.00,0.00
155,60.54,55.97,49.05,53.23,50.23,0.00,0.00,0.00,0.00,0.00
156,60.51,52.60,51.01,51.98,53.13,0.00,0.00,0.00,0.00,0.00
157,57.72,50.76,52.49,50.10,57.88,0.00,0.00,0.00,0.00,0.00
158,53.96,51.25,51.29,52.87,60.64,0.00,0.00,0.00,0.00,0.00
159,51.71,51.60,49.27,59.33,60.01,0.00,0.00,0.00,0.00,0.00
160,51.21,49.74,52.28,64.37,55.94,0.00,0.00,0.00,0.00,0.00
161,51.45,48.48,56.72,63.72,48.87,0.00,0.00,0.00,0.00,0.00
162,50.49,48.60,60.48,60.52,43.65,0.01,0.01,0.01,0.01,0.01
163,48.27,51.48,62.14,55.10,43.07,0.10,0.08,0.06,0.05,0.05
164,46.81,55.63,61.21,49.03,45.23,0.62,0.48,0.36,0.39,0.35
165,48.24,58.68,57.75,45.49,46.74,1.50,1.11,0.98,1.03,0.87
166,52.12,60.39,53.84,47.82,47.59,3.75,2.84,2.85,2.74,2.48
167,56.98,59.81,50.89,52.37,45.89,5.79,4.90,5.22,4.48,4.67
168,60.09,57.45,51.86,56.10,42.15,9.14,8.85,8.92,7.46,9.17
169,60.68,55.21,56.58,57.73,38.17,12.02,12.54,11.15,10.24,14.15
170,59.46,56.07,62.06,57.20,38.03,16.65,16.85,13.78,15.01,21.03
171,59.41,60.96,64.75,51.88,43.27,19.14,17.58,15.45,20.68,24.57
172,61.56,66.22,64.26,46.93,50.64,21.23,18.33,19.28,28.49,27.68
173,65.99,69.20,60.82,47.53,54.28,20.34,18.43,23.56,31.85,29.31
174,70.21,69.35,56.09,53.11,54.00,18.94,19.65,28.39,31.07,32.14
175,72.69,67.06,53.84,58.63,50.11,18.73,22.89,32.50,30.22,38.06
176,72.26,62.50,54.78,59.73,42.42,20.40,27.88,34.18,31.64,46.70
177,69.79,58.12,58.16,58.05,32.49,23.39,32.74,33.42,34.67,56.96
178,65.68,56.57,61.01,53.44,21.58,27.95,35.75,32.83,40.26,68.64
179,61.25,58.42,61.75,45.87,12.19,32.67,35.48,33.31,48.01,78.34
180,58.92,61.43,59.84,35.75,7.00,35.86,34.07,36.01,58.24,84.48
181,58.28,62.10,55.04,25.55,5.83,36.99,33.98,40.83,68.08,86.19
182,59.28,61.35,48.08,16.40,6.24,36.64,35.14,47.66,77.05,86.40
183,60.43,58.81,39.23,10.06,7.27,36.31,38.13,56.64,84.00,86.55
184,59.78,53.17,28.33,6.89,8.54,37.45,43.92,67.53,87.80,86.17
185,57.40,45.25,18.56,6.12,9.98,39.97,51.65,77.05,88.82,85.06
186,52.95,35.65,11.73,6.39,11.48,44.43,61.00,83.80,88.84,83.89
187,46.35,25.77,8.12,7.17,12.62,50.95,70.67,87.51,88.36,83.05
188,37.97,17.44,6.66,8.42,12.99,59.18,78.88,89.17,87.41,82.93
189,28.88,11.80,6.29,10.07,12.36,68.12,84.53,89.78,86.08,83.76
190,20.64,8.67,6.58,11.73,10.82,76.28,87.80,89.75,84.72,85.46
191,14.29,7.02,7.54,12.86,8.67,82.54,89.53,88.96,83.76,87.65
192,10.28,6.34,9.14,13.00,6.82,86.57,90.33,87.57,83.75,89.58
193,7.98,6.43,10.96,12.02,6.05,88.92,90.37,85.92,84.80,90.45
194,6.70,7.23,12.27,10.25,6.62,90.26,89.70,84.76,86.61,90.03
195,6.18,8.62,12.84,8.21,8.18,90.85,88.44,84.28,88.67,88.63
196,6.40,10.24,12.51,6.49,10.13,90.72,86.94,84.68,90.42,86.84
197,7.33,11.67,11.29,5.67,11.89,89.89,85.63,85.92,91.29,85.22
198,8.77,12.48,9.47,5.99,13.04,88.55,84.90,87.76,91.06,84.19
199,10.37,12.46,7.51,7.31,13.40,87.08,85.00,89.73,89.87,83.93
200,11.68,11.55,5.99,9.13,13.00,85.88,85.95,91.30,88.20,84.40
201,12.38,9.91,5.38,10.97,12.00,85.26,87.62,91.97,86.50,85.45
202,12.19,7.95,5.91,12.29,10.70,85.51,89.60,91.54,85.30,86.79
203,11.12,6.24,7.36,12.84,9.47,86.64,91.36,90.23,84.86,88.07
204,9.41,5.31,9.21,12.60,8.63,88.39,92.35,88.52,85.18,88.99
205,7.49,5.46,10.92,11.72,8.32,90.33,92.29,86.94,86.11,89.36
206,5.92,6.59,12.07,10.50,8.49,91.94,91.27,85.88,87.38,89.28
207,5.18,8.30,12.49,9.27,8.90,92.76,89.69,85.56,88.67,88.97
208,5.48,10.06,12.17,8.34,9.27,92.56,88.05,85.96,89.66,88.70
209,6.68,11.44,11.27,7.91,9.37,91.47,86.78,86.93,90.18,88.69
210,8.38,12.17,10.07,7.95,9.09,89.90,86.16,88.19,90.22,89.05
211,10.01,12.16,8.92,8.28,8.48,88.31,86.18,89.33,89.91,89.66
212,11.27,11.54,8.06,8.66,7.68,87.08,86.79,90.18,89.55,90.45
213,11.95,10.53,7.63,8.88,6.90,86.43,87.80,90.61,89.35,91.22
214,11.96,9.37,7.63,8.79,6.39,86.43,88.94,90.61,89.44,91.72
215,11.39,8.35,7.93,8.37,6.37,87.01,89.97,90.35,89.87,91.77
216,10.43,7.67,8.30,7.69,6.91,87.98,90.66,90.01,90.56,91.27
217,9.31,7.41,8.54,6.89,7.95,89.05,90.88,89.74,91.30,90.21
218,8.30,7.52,8.51,6.21,9.31,90.01,90.74,89.73,91.93,88.84
219,7.60,7.84,8.17,5.86,10.76,90.67,90.40,90.04,92.25,87.39
