"46 layers, 1.45 microns total thickness",,
,,
nm,R,T
120,0.110661,0
120.5,0.111766,0
121,0.113407,0
121.5,0.116084,0
122,0.119236,0
122.5,0.124306,0
123,0.131392,0
123.5,0.142966,0
124,0.160066,0
124.5,0.181155,0
125,0.204024,0.000001
125.5,0.226543,0.000001
126,0.250162,0.000001
126.5,0.278166,0.000001
127,0.311022,0.000001
127.5,0.34428,0.000002
128,0.372238,0.000002
128.5,0.393957,0.000003
129,0.416746,0.000003
129.5,0.451799,0.000004
130,0.501855,0.000004
130.5,0.534444,0.000005
131,0.562208,0.000005
131.5,0.581756,0.000006
132,0.592826,0.000006
132.5,0.598296,0.000007
133,0.603533,0.000008
133.5,0.612711,0.000009
134,0.624698,0.00001
134.5,0.637887,0.00001
135,0.642491,0.00001
135.5,0.631985,0.000011
136,0.6056,0.000013
136.5,0.57252,0.000015
137,0.552328,0.000016
137.5,0.557718,0.000017
138,0.58213,0.000017
138.5,0.611039,0.000017
139,0.633781,0.000017
139.5,0.647511,0.000017
140,0.655939,0.000017
140.5,0.665912,0.000019
141,0.681039,0.000021
141.5,0.700881,0.000022
142,0.721897,0.000023
142.5,0.739585,0.000024
143,0.75048,0.000027
143.5,0.752703,0.00003
144,0.747855,0.000034
144.5,0.736488,0.000041
145,0.719402,0.000049
145.5,0.698483,0.000059
146,0.676098,0.000071
146.5,0.654279,0.000086
147,0.633897,0.000104
147.5,0.614391,0.000125
148,0.594256,0.00015
148.5,0.571855,0.000181
149,0.546569,0.00022
149.5,0.520234,0.000268
150,0.4981,0.000323
150.5,0.482709,0.000385
151,0.478523,0.000448
151.5,0.483325,0.000515
152,0.49382,0.000586
152.5,0.509049,0.000661
153,0.530523,0.000736
153.5,0.559244,0.000806
154,0.593155,0.000869
154.5,0.628618,0.000927
155,0.662237,0.000986
155.5,0.69428,0.001045
156,0.724123,0.001102
156.5,0.751006,0.001163
157,0.77419,0.001231
157.5,0.793188,0.001314
158,0.807827,0.001421
158.5,0.818157,0.001562
159,0.824321,0.001751
159.5,0.826451,0.002002
160,0.82462,0.002335
160.5,0.818064,0.002788
161,0.807733,0.003383
161.5,0.794342,0.004141
162,0.777479,0.005115
162.5,0.75771,0.00633
163,0.736042,0.007816
163.5,0.713994,0.009529
164,0.69383,0.011445
164.5,0.680186,0.013323
165,0.680695,0.014822
165.5,0.698828,0.01554
166,0.726972,0.015669
166.5,0.755134,0.015584
167,0.778455,0.015577
167.5,0.795929,0.01579
168,0.807935,0.016253
168.5,0.81514,0.017075
169,0.818172,0.018206
169.5,0.817543,0.019772
170,0.81377,0.021697
170.5,0.808062,0.023954
171,0.800717,0.026502
171.5,0.792587,0.029188
172,0.784482,0.03195
172.5,0.777149,0.034436
173,0.771047,0.036673
173.5,0.766432,0.038395
174,0.763555,0.039539
174.5,0.762909,0.040038
175,0.765182,0.039725
175.5,0.771765,0.03874
176,0.782501,0.037142
176.5,0.795651,0.035314
177,0.808426,0.033623
177.5,0.818401,0.032294
178,0.824772,0.031574
178.5,0.826729,0.031514
179,0.824143,0.032213
179.5,0.816875,0.033747
180,0.80433,0.036089
180.5,0.787617,0.039163
181,0.766402,0.042829
181.5,0.741511,0.046696
182,0.714192,0.050266
182.5,0.683855,0.052943
183,0.650643,0.054566
183.5,0.623999,0.054849
184,0.628815,0.052805
184.5,0.670282,0.04874
185,0.719425,0.044472
185.5,0.757913,0.041196
186,0.784044,0.039201
186.5,0.7999,0.038371
187,0.807923,0.03863
187.5,0.809785,0.039964
188,0.806004,0.042302
188.5,0.797306,0.045716
189,0.784048,0.050236
189.5,0.766154,0.05567
190,0.74432,0.061964
190.5,0.719649,0.068795
191,0.692317,0.075716
191.5,0.665034,0.082404
192,0.643288,0.088214
192.5,0.634936,0.092118
193,0.644341,0.093934
193.5,0.665505,0.094358
194,0.688192,0.094556
194.5,0.706453,0.095764
195,0.717938,0.098623
195.5,0.722132,0.103335
196,0.719455,0.110456
196.5,0.710055,0.120354
197,0.693761,0.133165
197.5,0.670773,0.149424
198,0.641215,0.169337
198.5,0.605667,0.192365
199,0.565017,0.218232
199.5,0.520372,0.246133
200,0.472445,0.27484
200.5,0.422587,0.303535
201,0.368784,0.333259
201.5,0.313813,0.363456
202,0.268013,0.391186
202.5,0.246276,0.411753
203,0.253989,0.422134
203.5,0.279964,0.424736
204,0.308848,0.425524
204.5,0.331053,0.428598
205,0.343263,0.435456
205.5,0.345651,0.446757
206,0.339459,0.462347
206.5,0.326199,0.481455
207,0.307217,0.503313
207.5,0.283208,0.527961
208,0.254652,0.555244
208.5,0.222092,0.584593
209,0.186417,0.616061
209.5,0.150139,0.64838
210,0.117979,0.678499
210.5,0.095784,0.702374
211,0.086782,0.717757
211.5,0.09061,0.724249
212,0.102881,0.723904
212.5,0.118067,0.720624
213,0.131568,0.717808
213.5,0.140451,0.717741
214,0.143304,0.721491
214.5,0.140026,0.729632
215,0.131131,0.741926
215.5,0.117667,0.757532
216,0.101235,0.7752
216.5,0.084002,0.793381
217,0.068633,0.809914
217.5,0.058062,0.822169
218,0.054869,0.828088
218.5,0.06052,0.826484
219,0.074787,0.817462
219.5,0.095725,0.802372
220,0.120484,0.783743
220.5,0.144125,0.765846
221,0.166371,0.748938
221.5,0.185702,0.734194
222,0.201265,0.722594
222.5,0.212586,0.714623
223,0.219492,0.710486
223.5,0.222019,0.710037
224,0.220346,0.713312
224.5,0.214721,0.720128
225,0.20546,0.730227
225.5,0.193206,0.742926
226,0.178285,0.758056
226.5,0.161251,0.775147
227,0.142798,0.793582
227.5,0.123815,0.812446
228,0.105257,0.830962
228.5,0.088195,0.848193
229,0.073711,0.863152
229.5,0.062739,0.874895
230,0.055901,0.882856
230.5,0.053352,0.886919
231,0.054979,0.887155
231.5,0.060049,0.884154
232,0.067535,0.878786
232.5,0.076387,0.872097
233,0.085577,0.865031
233.5,0.094227,0.8584
234,0.101631,0.852766
234.5,0.107362,0.848642
235,0.111146,0.846299
235.5,0.112868,0.845857
236,0.11255,0.847257
236.5,0.110346,0.850372
237,0.106503,0.855019
237.5,0.101356,0.860892
238,0.095317,0.867603
238.5,0.08887,0.874612
239,0.082545,0.881505
239.5,0.07689,0.887762
240,0.072433,0.892879
240.5,0.069632,0.89639
241,0.068867,0.897909
241.5,0.070313,0.897311
242,0.073971,0.894591
242.5,0.079655,0.889918
243,0.087009,0.883578
243.5,0.095578,0.87603
244,0.104846,0.867787
244.5,0.114288,0.859352
245,0.123411,0.851199
245.5,0.131765,0.843714
246,0.139016,0.837267
246.5,0.144895,0.832128
247,0.149203,0.828492
247.5,0.151816,0.826486
248,0.152665,0.826128
248.5,0.151755,0.827471
249,0.149125,0.830479
249.5,0.144864,0.835071
250,0.139103,0.841121
250.5,0.132419,0.848028
251,0.124733,0.855912
251.5,0.116276,0.864553
252,0.107312,0.873694
252.5,0.098139,0.883046
253,0.089091,0.892247
253.5,0.080494,0.901012
254,0.07268,0.909021
254.5,0.065964,0.915966
255,0.060617,0.92158
255.5,0.056848,0.925628
256,0.054782,0.928004
256.5,0.054456,0.928681
257,0.055813,0.927711
257.5,0.058711,0.925231
258,0.06293,0.921441
258.5,0.0682,0.916595
259,0.074234,0.910994
259.5,0.080733,0.904931
260,0.087403,0.898691
