single layer HfO2,,,
assumes 7 µm device layer thickness,,,
,,,
nm,T (%),corr. 7 µm,eff QE
100,6.3567,0,0.063567
101,6.2861,0,0.062861
102,6.2198,0,0.062198
103,6.159,0,0.06159
104,6.109,0,0.06109
105,6.0667,0,0.060667
106,6.0369,0,0.060369
107,6.02,0,0.0602
108,6.006,0,0.06006
109,5.9942,0,0.059942
110,5.9855,0,0.059855
111,5.9854,0,0.059854
112,5.9894,0,0.059894
113,5.9981,0,0.059981
114,6.0137,0,0.060137
115,6.0317,0,0.060317
116,6.0599,0,0.060599
117,6.0937,0,0.060937
118,6.1297,0,0.061297
119,6.1721,0,0.061721
120,6.2173,0,0.062173
121,6.2644,0,0.062644
122,6.3247,0,0.063247
123,6.3869,0,0.063869
124,6.4512,0,0.064512
125,6.519,0,0.06519
126,6.5889,0,0.065889
127,6.6606,0,0.066606
128,6.7421,0,0.067421
129,6.8273,0,0.068273
130,6.9146,0,0.069146
131,7.007,0,0.07007
132,7.1047,0,0.071047
133,7.2043,0,0.072043
134,7.3061,0,0.073061
135,7.4181,0,0.074181
136,7.5323,0,0.075323
137,7.6486,0,0.076486
138,7.7695,0,0.077695
139,7.9025,0,0.079025
140,8.0378,0,0.080378
141,8.1753,0,0.081753
142,8.317,0,0.08317
143,8.4651,0,0.084651
144,8.6156,0,0.086156
145,8.7685,0,0.087685
146,8.9256,0,0.089256
147,9.1003,0,0.091003
148,9.2776,0,0.092776
149,9.4573,0,0.094573
150,9.6398,0,0.096398
151,9.8305,0,0.098305
152,10.0265,0,0.100265
153,10.225,0,0.10225
154,10.4265,0,0.104265
155,10.6305,0,0.106305
156,10.8487,0,0.108487
157,11.0697,0,0.110697
158,11.2936,0,0.112936
159,11.5204,0,0.115204
160,11.7501,0,0.117501
161,12.0004,0,0.120004
162,12.2537,0,0.122537
163,12.5099,0,0.125099
164,12.7693,0,0.127693
165,13.0316,0,0.130316
166,13.3107,0,0.133107
167,13.5988,0,0.135988
168,13.89,0,0.1389
169,14.1842,0,0.141842
170,14.4816,0,0.144816
171,14.782,0,0.14782
172,15.1026,0,0.151026
173,15.4263,0,0.154263
174,15.753,0,0.15753
175,16.0827,0,0.160827
176,16.4154,0,0.164154
177,16.7509,0,0.167509
178,17.1027,0,0.171027
179,17.4587,0,0.174587
180,17.8175,0,0.178175
181,18.1789,0,0.181789
182,18.5431,0,0.185431
183,18.9098,0,0.189098
184,19.2839,0,0.192839
185,19.6716,0,0.196716
186,20.0616,0,0.200616
187,20.4538,0,0.204538
188,20.8481,0,0.208481
189,21.2444,0,0.212444
190,21.6426,0,0.216426
191,23.3544,0,0.233544
192,25.1523,0,0.251523
193,27.0378,0,0.270378
194,29.0072,0,0.290072
195,31.0551,0,0.310551
196,33.1752,0,0.331752
197,35.3594,0,0.353594
198,37.5989,0,0.375989
199,39.8959,0,0.398959
200,42.2356,0,0.422356
201,44.5966,0,0.445966
202,46.9655,0,0.469655
203,49.3279,0,0.493279
204,51.6693,0,0.516693
205,53.9748,0,0.539748
206,56.2302,0,0.562302
207,58.4446,0,0.584446
208,60.6158,0,0.606158
209,62.6344,0,0.626344
210,64.6137,0,0.646137
211,66.4462,0,0.664462
212,68.1939,0,0.681939
213,69.7767,0,0.697767
214,71.2457,0,0.712457
215,72.6082,0,0.726082
216,73.8979,0,0.738979
217,74.9665,0,0.749665
218,75.8884,0,0.758884
219,76.7504,0,0.767504
220,77.5215,0,0.775215
221,78.1143,0,0.781143
222,78.6747,0,0.786747
223,79.1158,0,0.791158
224,79.5425,0,0.795425
225,79.888,0,0.79888
226,80.1269,0,0.801269
227,80.3843,0,0.803843
228,80.5883,0,0.805883
229,80.8158,0,0.808158
230,81.0371,0,0.810371
231,81.2502,0,0.812502
232,81.3821,0,0.813821
233,81.4469,0,0.814469
234,81.412,0,0.81412
235,81.2386,0,0.812386
236,80.9363,0,0.809363
237,80.5157,0,0.805157
238,79.9894,0,0.799894
239,79.3791,0,0.793791
240,78.6944,0,0.786944
241,77.9731,0,0.779731
242,77.1609,0,0.771609
243,76.2993,0,0.762993
244,75.4676,0,0.754676
245,74.5217,0,0.745217
246,73.5993,0,0.735993
247,72.6674,0,0.726674
248,71.6804,0,0.716804
249,70.7338,0,0.707338
250,69.7725,0,0.697725
251,68.7451,0,0.687451
252,67.7437,0,0.677437
253,66.7128,0,0.667128
254,65.8122,0,0.658122
255,64.7552,0,0.647552
256,63.7736,0,0.637736
257,62.7509,0,0.627509
258,61.7442,0,0.617442
259,60.7425,0,0.607425
260,59.7303,0,0.597303
261,58.7312,0,0.587312
262,57.7366,0,0.577366
263,56.758,0,0.56758
264,55.7603,0,0.557603
265,54.7576,0,0.547576
266,53.8437,0,0.538437
267,52.9095,0,0.529095
268,52.0587,0,0.520587
269,51.2285,0,0.512285
270,50.4803,0,0.504803
271,49.8598,0,0.498598
272,49.3121,0,0.493121
273,48.8527,0,0.488527
274,48.5022,0,0.485022
275,48.222,0,0.48222
276,47.9963,0,0.479963
277,47.8122,0,0.478122
278,47.6818,0,0.476818
279,47.5986,0,0.475986
280,47.5199,0,0.475199
281,47.4619,0,0.474619
282,47.4123,0,0.474123
283,47.3656,0,0.473656
284,47.3253,0,0.473253
285,47.3249,0,0.473249
286,47.3688,0,0.473688
287,47.4545,0,0.474545
288,47.801,0,0.47801
289,48.2346,0,0.482346
290,48.757,0,0.48757
291,49.4269,0,0.494269
292,50.1171,0,0.501171
293,50.7893,0,0.507893
294,51.4467,0,0.514467
295,52.0827,0,0.520827
296,52.6676,0,0.526676
297,53.211,0,0.53211
298,53.7152,0,0.537152
299,54.1271,0,0.541271
300,54.5101,0,0.545101
301,54.8734,0,0.548734
302,55.232,0,0.55232
303,55.5409,0,0.555409
304,55.8177,0,0.558177
305,56.094,0,0.56094
306,56.3105,0,0.563105
307,56.5002,0,0.565002
308,56.6802,0,0.566802
309,56.8352,0,0.568352
310,56.9739,0,0.569739
311,57.0982,0,0.570982
312,57.2008,0,0.572008
313,57.2817,0,0.572817
314,57.3539,0,0.573539
315,57.4165,0,0.574165
316,57.4585,0,0.574585
317,57.491,0,0.57491
318,57.5178,0,0.575178
319,57.529,0,0.57529
320,57.5314,0,0.575314
321,57.5305,0,0.575305
322,57.518,0,0.57518
323,57.5017,0,0.575017
324,57.477,0,0.57477
325,57.4487,0,0.574487
326,57.415,0,0.57415
327,57.3773,0,0.573773
328,57.3379,0,0.573379
329,57.2866,0,0.572866
330,57.2308,0,0.572308
331,57.1641,0,0.571641
332,57.0976,0,0.570976
333,57.0311,0,0.570311
334,56.9531,0,0.569531
335,56.8703,0,0.568703
336,56.7802,0,0.567802
337,56.6889,0,0.566889
338,56.5913,0,0.565913
339,56.4907,0,0.564907
340,56.3764,0,0.563764
341,56.2615,0,0.562615
342,56.1405,0,0.561405
343,56.0083,0,0.560083
344,55.8652,0,0.558652
345,55.709,0,0.55709
346,55.5443,0,0.555443
347,55.3635,0,0.553635
348,55.1764,0,0.551764
349,54.958,0,0.54958
350,54.7273,0,0.547273
351,54.4686,0,0.544686
352,54.2046,0,0.542046
353,53.8923,0,0.538923
354,53.5705,0,0.535705
355,53.2172,0,0.532172
356,52.859,0,0.52859
357,52.4635,0,0.524635
358,52.0529,0,0.520529
359,51.6444,0,0.516444
360,51.2383,0,0.512383
361,50.8732,0,0.508732
362,50.5267,0,0.505267
363,50.2416,0,0.502416
364,50.0102,0,0.500102
365,49.816,0,0.49816
366,49.7226,0,0.497226
367,49.6398,0,0.496398
368,49.6867,0,0.496867
369,49.7054,0,0.497054
370,49.8546,0,0.498546
371,49.9774,0,0.499774
372,50.1834,0,0.501834
373,50.3941,0,0.503941
374,50.6446,0,0.506446
375,50.9219,0,0.509219
376,51.2038,0,0.512038
377,51.5189,0,0.515189
378,51.8266,0,0.518266
379,52.1384,0,0.521384
380,52.4472,0,0.524472
381,52.7456,0,0.527456
382,53.0398,0,0.530398
383,53.3335,0,0.533335
384,53.628,0,0.53628
385,53.9231,0,0.539231
386,54.1742,0,0.541742
387,54.4264,0,0.544264
388,54.675,0,0.54675
389,54.9203,0,0.549203
390,55.164,0,0.55164
391,55.3829,0,0.553829
392,55.6032,0,0.556032
393,55.8135,0,0.558135
394,56.0177,0,0.560177
395,56.2214,0,0.562214
396,56.4098,0,0.564098
397,56.5996,0,0.565996
398,56.7782,0,0.567782
399,56.95,0,0.5695
400,57.1231,0,0.571231
401,57.287,0,0.57287
402,57.4519,0,0.574519
403,57.6067,0,0.576067
404,57.7512,0,0.577512
405,57.8966,0,0.578966
406,58.0473,0,0.580473
407,58.2002,0,0.582002
408,58.3494,0,0.583494
409,58.4799,0,0.584799
410,58.6112,0,0.586112
411,58.7368,0,0.587368
412,58.8565,0,0.588565
413,58.9769,0,0.589769
414,59.0933,0,0.590933
415,59.2084,0,0.592084
416,59.3243,0,0.593243
417,59.4353,0,0.594353
418,59.5463,0,0.595463
419,59.6568,0,0.596568
420,59.7566,0,0.597566
421,59.8569,0,0.598569
422,59.9549,0,0.599549
423,60.0465,0,0.600465
424,60.1386,0,0.601386
425,60.2319,0,0.602319
426,60.327,0,0.60327
427,60.4226,0,0.604226
428,60.5128,0,0.605128
429,60.5976,0,0.605976
430,60.6829,0,0.606829
431,60.7675,0,0.607675
432,60.8513,0,0.608513
433,60.9355,0,0.609355
434,61.0171,0,0.610171
435,61.096,0,0.61096
436,61.1754,0,0.611754
437,61.2512,0,0.612512
438,61.3215,0,0.613215
439,61.3921,0,0.613921
440,61.4628,0,0.614628
441,61.5333,0,0.615333
442,61.6042,0,0.616042
443,61.6727,0,0.616727
444,61.7306,0,0.617306
445,61.7887,0,0.617887
446,61.8471,0,0.618471
447,61.9157,0,0.619157
448,61.9847,0,0.619847
449,62.0541,0,0.620541
450,62.1112,0,0.621112
451,62.1661,0,0.621661
452,62.2212,0,0.622212
453,62.279,0,0.62279
454,62.3397,0,0.623397
455,62.4008,0,0.624008
456,62.4613,0,0.624613
457,62.5187,0,0.625187
458,62.5765,0,0.625765
459,62.6345,0,0.626345
460,62.6899,0,0.626899
461,62.7448,0,0.627448
462,62.8,0,0.628
463,62.856,0,0.62856
464,62.913,0,0.62913
465,62.9703,0,0.629703
466,63.0279,0,0.630279
467,63.0695,0,0.630695
468,63.1094,0,0.631094
469,63.1495,0,0.631495
470,63.1938,0,0.631938
471,63.2445,0,0.632445
472,63.2954,0,0.632954
473,63.3466,0,0.633466
474,63.3754,0,0.633754
475,63.3987,0,0.633987
476,63.4218,0,0.634218
477,63.4472,0,0.634472
478,63.4929,0,0.634929
479,63.5388,0,0.635388
480,63.585,0,0.63585
481,63.6273,0,0.636273
482,63.6636,0,0.636636
483,63.7001,0,0.637001
484,63.7367,0,0.637367
485,63.7736,0,0.637736
486,63.8107,0,0.638107
487,63.848,0,0.63848
488,63.8854,0,0.638854
489,63.9228,0,0.639228
490,63.9603,0,0.639603
491,63.998,0,0.63998
492,64.0359,0.0001,0.640358
493,64.0707,0.0001,0.640706
494,64.1056,0.0001,0.641055
495,64.1407,0.0001,0.641406
496,64.1759,0.0001,0.641758
497,64.21,0.0001,0.642099
498,64.2443,0.0001,0.642442
499,64.2787,0.0001,0.642786
500,64.3126,0.0001,0.643125
501,64.341,0.0002,0.643408
502,64.3695,0.0003,0.643692
503,64.3981,0.0004,0.643977
504,64.4268,0.0005,0.644263
505,64.4644,0.0004,0.64464
506,64.5021,0.0003,0.645018
507,64.5399,0.0002,0.645397
508,64.5779,0.0002,0.645777
509,64.6032,0.0003,0.646029
510,64.6273,0.0005,0.646268
511,64.6514,0.0009,0.646505
512,64.6757,0.0014,0.646743
513,64.7035,0.0017,0.647018
514,64.733,0.0017,0.647313
515,64.7626,0.0018,0.647608
516,64.7923,0.0018,0.647905
517,64.8205,0.0019,0.648186
518,64.8465,0.0023,0.648442
519,64.8726,0.0028,0.648698
520,64.8987,0.0033,0.648954
521,64.9249,0.0039,0.64921
522,64.9501,0.0045,0.649456
