"Case 6: 36 layer bluer dichroic with modified AOI NUV filter on same element, bluer FUV filter",,
nm,Detector + Filter,%
100,0.0024,0.000024
101,0.0033,0.000033
102,0.0078,0.000078
103,0.0162,0.000162
104,0.029,0.00029
105,0.0504,0.000504
106,0.085,0.00085
107,0.1273,0.001273
108,0.155,0.00155
109,0.1858,0.001858
110,0.2191,0.002191
111,0.1847,0.001847
112,0.1612,0.001612
113,0.1467,0.001467
114,0.1379,0.001379
115,0.1352,0.001352
116,0.1396,0.001396
117,0.1477,0.001477
118,0.1585,0.001585
119,0.1733,0.001733
120,0.193,0.00193
121,0.2183,0.002183
122,0.2546,0.002546
123,0.3093,0.003093
124,0.387,0.00387
125,0.5005,0.005005
126,0.6674,0.006674
127,0.9197,0.009197
128,1.3138,0.013138
129,1.9476,0.019476
130,2.9978,0.029978
131,4.7882,0.047882
132,7.8777,0.078777
133,13.0789,0.130789
134,18.6287,0.186287
135,21.6169,0.216169
136,24.8009,0.248009
137,28.0624,0.280624
138,31.2591,0.312591
139,34.2542,0.342542
140,36.9166,0.369166
141,39.211,0.39211
142,41.0783,0.410783
143,42.5367,0.425367
144,43.6682,0.436682
145,44.5031,0.445031
146,45.003,0.45003
147,45.323,0.45323
148,45.5042,0.455042
149,45.5766,0.455766
150,45.5586,0.455586
151,45.4581,0.454581
152,45.25,0.4525
153,44.9027,0.449027
154,44.3955,0.443955
155,43.0326,0.430326
156,40.5179,0.405179
157,37.386,0.37386
158,33.8534,0.338534
159,30.1912,0.301912
160,26.6506,0.266506
161,23.6038,0.236038
162,21.6924,0.216924
163,19.9464,0.199464
164,18.3659,0.183659
165,16.9413,0.169413
166,15.6609,0.156609
167,14.5162,0.145162
168,13.4901,0.134901
169,12.5679,0.125679
170,11.7373,0.117373
171,10.9971,0.109971
172,10.3314,0.103314
173,9.7219,0.097219
174,9.1612,0.091612
175,8.6416,0.086416
176,8.1649,0.081649
177,7.7177,0.077177
178,7.3052,0.073052
179,6.9144,0.069144
180,6.541,0.06541
181,6.1881,0.061881
182,5.8472,0.058472
183,5.5169,0.055169
184,5.1975,0.051975
185,4.8896,0.048896
186,4.5911,0.045911
187,4.3019,0.043019
188,4.0226,0.040226
189,3.7534,0.037534
190,3.495,0.03495
191,3.2475,0.032475
192,3.0113,0.030113
193,2.7871,0.027871
194,2.5754,0.025754
195,2.3761,0.023761
196,2.1871,0.021871
197,2.0107,0.020107
198,1.8466,0.018466
199,1.6951,0.016951
200,1.5552,0.015552
201,1.4383,0.014383
202,1.3299,0.013299
203,1.2297,0.012297
204,1.1372,0.011372
205,1.0518,0.010518
206,0.9735,0.009735
207,0.9015,0.009015
208,0.8356,0.008356
209,0.7737,0.007737
210,0.7177,0.007177
211,0.6651,0.006651
212,0.6172,0.006172
