# date_modified : 2026-05-21
# orig_filename: 135_180nm_UVEX_Dichroic_vs_AOI.csv
# wavelength_unit: um
wavelength    reflection    transmission
0.1200        0.144960      0.000000
0.1210        0.131220      0.000000
0.1220        0.128820      0.000000
0.1230        0.135100      0.000000
0.1240        0.141960      0.000000
0.1250        0.140100      0.000000
0.1260        0.137180      0.000000
0.1270        0.133440      0.000000
0.1280        0.109720      0.000000
0.1290        0.100380      0.000000
0.1300        0.103220      0.000000
0.1310        0.120700      0.000000
0.1320        0.172340      0.000000
0.1330        0.247640      0.000000
0.1340        0.315220      0.000000
0.1350        0.392400      0.000000
0.1360        0.444060      0.000000
0.1370        0.456480      0.000000
0.1380        0.457220      0.000000
0.1390        0.460100      0.000000
0.1400        0.463320      0.000000
0.1410        0.463100      0.000000
0.1420        0.462440      0.000000
0.1430        0.461360      0.000000
0.1440        0.468440      0.000000
0.1450        0.476880      0.000000
0.1460        0.472860      0.000000
0.1470        0.463880      0.000000
0.1480        0.451060      0.000000
0.1490        0.441700      0.000000
0.1500        0.445780      0.000000
0.1510        0.467480      0.000000
0.1520        0.489600      0.000000
0.1530        0.511380      0.000000
0.1540        0.527880      0.000000
0.1550        0.538040      0.000000
0.1560        0.538460      0.000000
0.1570        0.537900      0.000000
0.1580        0.540020      0.000000
0.1590        0.543840      0.000000
0.1600        0.547080      0.000000
0.1610        0.538480      0.000000
0.1620        0.527480      0.000100
0.1630        0.520120      0.000680
0.1640        0.515820      0.004400
0.1650        0.513800      0.010980
0.1660        0.523520      0.029320
0.1670        0.531880      0.050120
0.1680        0.535300      0.087080
0.1690        0.536740      0.120200
0.1700        0.545640      0.166640
0.1710        0.560540      0.194840
0.1720        0.579220      0.230020
0.1730        0.595640      0.246980
0.1740        0.605520      0.260380
0.1750        0.604660      0.284800
0.1760        0.583380      0.321600
0.1770        0.553220      0.362360
0.1780        0.516560      0.410860
0.1790        0.478960      0.455620
0.1800        0.445880      0.497320
0.1810        0.413600      0.532140
0.1820        0.382700      0.565780
0.1830        0.351600      0.603260
0.1840        0.313420      0.645740
0.1850        0.274620      0.685100
0.1860        0.236400      0.723920
0.1870        0.200060      0.761080
0.1880        0.166960      0.795140
0.1890        0.138800      0.824540
0.1900        0.116880      0.848020
0.1910        0.100760      0.864880
0.1920        0.091160      0.875600
0.1930        0.086880      0.880920
0.1940        0.086140      0.882720
0.1950        0.088060      0.881740
0.1960        0.091540      0.879200
0.1970        0.095700      0.875900
0.1980        0.099500      0.872920
0.1990        0.102100      0.871220
0.2000        0.102700      0.871460
0.2010        0.101280      0.873600
0.2020        0.098080      0.877480
0.2030        0.094060      0.882320
0.2040        0.090320      0.886860
0.2050        0.087820      0.890060
0.2060        0.087140      0.891500
0.2070        0.088280      0.891300
0.2080        0.090640      0.889860
0.2090        0.093340      0.888100
0.2100        0.095320      0.887040
0.2110        0.095700      0.886780
0.2120        0.094420      0.888100
0.2130        0.091780      0.890820
0.2140        0.088280      0.894280
0.2150        0.084820      0.897940
0.2160        0.082000      0.900960
0.2170        0.080200      0.902360
0.2180        0.079700      0.902500
0.2190        0.080460      0.901500
0.2200        0.082120      0.899540
0.2210        0.084320      0.897120
0.2220        0.086420      0.894700
0.2230        0.088060      0.892760
0.2240        0.088900      0.891580
0.2250        0.088900      0.891280
0.2260        0.088080      0.891760
0.2270        0.086760      0.892720
0.2280        0.085260      0.893880
0.2290        0.083980      0.894760
0.2300        0.083320      0.895160
0.2310        0.083340      0.894800
0.2320        0.084140      0.893700
0.2330        0.085540      0.892040
0.2340        0.087220      0.890100
0.2350        0.088800      0.888280
0.2360        0.089940      0.886920
0.2370        0.090320      0.886260
0.2380        0.089740      0.886560
0.2390        0.088180      0.887800
0.2400        0.085700      0.889920
0.2410        0.082180      0.893380
0.2420        0.078080      0.897340
0.2430        0.073940      0.901400
0.2440        0.070180      0.905060
0.2450        0.067180      0.907980
0.2460        0.065240      0.909880
0.2470        0.064480      0.910600
0.2480        0.064900      0.910200
0.2490        0.066300      0.908880
0.2500        0.068360      0.906860
0.2510        0.070880      0.904760
0.2520        0.073500      0.902640
0.2530        0.075880      0.900700
0.2540        0.077780      0.899180
0.2550        0.079120      0.898220
0.2560        0.079860      0.897900
0.2570        0.080020      0.898100
0.2580        0.079780      0.898740
0.2590        0.079280      0.899520
0.2600        0.078740      0.900380
0.2610        0.078400      0.900740
0.2620        0.078400      0.900760
0.2630        0.078880      0.900340
0.2640        0.079840      0.899480
0.2650        0.081200      0.898200
0.2660        0.082820      0.896660
0.2670        0.084560      0.895020
0.2680        0.086120      0.893580
0.2690        0.087360      0.892440
0.2700        0.088140      0.891740
0.2710        0.088340      0.891580
0.2720        0.087980      0.892000
0.2730        0.087040      0.892960
0.2740        0.085640      0.894380
0.2750        0.083840      0.896240
0.2760        0.081780      0.898300
0.2770        0.079660      0.900460
0.2780        0.077580      0.902560
0.2790        0.075760      0.904400
0.2800        0.074300      0.905900
0.2810        0.073340      0.906880
0.2820        0.072960      0.907300
0.2830        0.073180      0.907180
0.2840        0.073920      0.906560
0.2850        0.075040      0.905500
0.2860        0.076480      0.904140
0.2870        0.077980      0.902720
0.2880        0.079460      0.901340
0.2890        0.080760      0.900140
0.2900        0.081680      0.899300
0.2910        0.082160      0.898860
0.2920        0.082220      0.898900
0.2930        0.081740      0.899380
0.2940        0.080840      0.900300
0.2950        0.079540      0.901660
0.2960        0.077920      0.903320
0.2970        0.076060      0.905220
0.2980        0.074040      0.907240
0.2990        0.072000      0.909320
0.3000        0.070020      0.911320
0.3010        0.068380      0.913080
0.3020        0.067020      0.914660
0.3030        0.065880      0.915920
0.3040        0.065120      0.916860
0.3050        0.064720      0.917460
0.3060        0.064600      0.917740
0.3070        0.064900      0.917640
0.3080        0.065440      0.917280
0.3090        0.066260      0.916660
0.3100        0.067240      0.915840
0.3110        0.068420      0.914880
0.3120        0.069600      0.913880
0.3130        0.070840      0.912840
0.3140        0.072040      0.911840
0.3150        0.073140      0.910920
0.3160        0.074180      0.910080
0.3170        0.075140      0.909320
0.3180        0.075900      0.908740
0.3190        0.076560      0.908260
0.3200        0.077120      0.907880
0.3210        0.077580      0.907560
0.3220        0.077940      0.907360
